label,team_school_ncaa,team_seed,opp_school_ncaa,opp_seed
,Kentucky,2,Kansas,4
,Kentucky,2,Florida St.,4
,Kentucky,2,Kansas St.,4
,Kentucky,2,Auburn,5
,Kentucky,2,Wisconsin,5
,Kentucky,2,Mississippi St.,5
,Kentucky,2,Marquette,5
,Kentucky,2,Iowa St.,6
,Kentucky,2,Buffalo,6
,Kentucky,2,Villanova,6
,Kentucky,2,Maryland,6
,Kentucky,2,Wofford,7
,Kentucky,2,Nevada,7
,Kentucky,2,Cincinnati,7
,Kentucky,2,Louisville,7
,Kentucky,2,Ole Miss,8
,Kentucky,2,Syracuse,8
,Kentucky,2,Utah St.,8
,Kentucky,2,VCU,8
,Kentucky,2,Baylor,9
,Kentucky,2,Oklahoma,9
,Kentucky,2,UCF,9
,Kentucky,2,Washington,9
,Kentucky,2,Iowa,10
,Kentucky,2,Seton Hall,10
,Kentucky,2,Minnesota,10
,Kentucky,2,Florida,10
,Kentucky,2,Arizona St.,11
,Kentucky,2,St. John's (NY),11
,Kentucky,2,Ohio St.,11
,Kentucky,2,Belmont,11
,Kentucky,2,Saint Mary's (CA),11
,Kentucky,2,Temple,11
,Kentucky,2,Oregon,12
,Kentucky,2,Murray St.,12
,Kentucky,2,New Mexico St.,12
,Kentucky,2,Liberty,12
,Kentucky,2,Saint Louis,13
,Kentucky,2,UC Irvine,13
,Kentucky,2,Vermont,13
,Kentucky,2,Northeastern,13
,Kentucky,2,Northern Ky.,14
,Kentucky,2,Georgia St.,14
,Kentucky,2,Yale,14
,Kentucky,2,Old Dominion,14
,Kentucky,2,Abilene Christian,15
,Kentucky,2,Colgate,15
,Kentucky,2,Bradley,15
,Kentucky,2,Montana,15
,Kentucky,2,Fairleigh Dickinson,16
,Kentucky,2,N.C. Central,16
,Kentucky,2,Gardner-Webb,16
,Kentucky,2,Prairie View,16
,Kentucky,2,North Dakota St.,16
,Kentucky,2,Iona,16
,Michigan St.,2,North Carolina,1
,Michigan St.,2,Gonzaga,1
,Michigan St.,2,Duke,1
,Michigan St.,2,Virginia,1
,Michigan St.,2,Kentucky,2
,Michigan St.,2,Tennessee,2
,Michigan St.,2,Michigan,2
,Michigan St.,2,Houston,3
,Michigan St.,2,LSU,3
,Michigan St.,2,Purdue,3
,Michigan St.,2,Texas Tech,3
,Michigan St.,2,Virginia Tech,4
,Michigan St.,2,Kansas,4
,Michigan St.,2,Florida St.,4
,Michigan St.,2,Kansas St.,4
,Michigan St.,2,Auburn,5
,Michigan St.,2,Wisconsin,5
,Michigan St.,2,Mississippi St.,5
,Michigan St.,2,Marquette,5
,Michigan St.,2,Iowa St.,6
,Michigan St.,2,Buffalo,6
,Michigan St.,2,Villanova,6
,Michigan St.,2,Maryland,6
,Michigan St.,2,Wofford,7
,Michigan St.,2,Nevada,7
,Michigan St.,2,Cincinnati,7
,Michigan St.,2,Louisville,7
,Michigan St.,2,Ole Miss,8
,Michigan St.,2,Syracuse,8
,Michigan St.,2,Utah St.,8
,Michigan St.,2,VCU,8
,Michigan St.,2,Baylor,9
,Michigan St.,2,Oklahoma,9
,Michigan St.,2,UCF,9
,Michigan St.,2,Washington,9
,Michigan St.,2,Iowa,10
,Michigan St.,2,Seton Hall,10
,Michigan St.,2,Minnesota,10
,Michigan St.,2,Florida,10
,Michigan St.,2,Arizona St.,11
,Michigan St.,2,St. John's (NY),11
,Michigan St.,2,Ohio St.,11
,Michigan St.,2,Belmont,11
,Michigan St.,2,Saint Mary's (CA),11
,Michigan St.,2,Temple,11
,Michigan St.,2,Oregon,12
,Michigan St.,2,Murray St.,12
,Michigan St.,2,New Mexico St.,12
,Michigan St.,2,Liberty,12
,Michigan St.,2,Saint Louis,13
,Michigan St.,2,UC Irvine,13
,Michigan St.,2,Vermont,13
,Michigan St.,2,Northeastern,13
,Michigan St.,2,Northern Ky.,14
,Michigan St.,2,Georgia St.,14
,Michigan St.,2,Yale,14
,Michigan St.,2,Old Dominion,14
,Michigan St.,2,Abilene Christian,15
,Michigan St.,2,Colgate,15
,Michigan St.,2,Bradley,15
,Michigan St.,2,Montana,15
,Michigan St.,2,Fairleigh Dickinson,16
,Michigan St.,2,N.C. Central,16
,Michigan St.,2,Gardner-Webb,16
,Michigan St.,2,Prairie View,16
,Michigan St.,2,North Dakota St.,16
,Michigan St.,2,Iona,16
,Tennessee,2,North Carolina,1
,Tennessee,2,Gonzaga,1
,Tennessee,2,Duke,1
,Tennessee,2,Virginia,1
,Tennessee,2,Kentucky,2
,Tennessee,2,Michigan St.,2
,Tennessee,2,Michigan,2
,Tennessee,2,Houston,3
,Tennessee,2,LSU,3
,Tennessee,2,Purdue,3
,Tennessee,2,Texas Tech,3
,Tennessee,2,Virginia Tech,4
,Tennessee,2,Kansas,4
,Tennessee,2,Florida St.,4
,Tennessee,2,Kansas St.,4
,Tennessee,2,Auburn,5
,Tennessee,2,Wisconsin,5
,Tennessee,2,Mississippi St.,5
,Tennessee,2,Marquette,5
,Tennessee,2,Iowa St.,6
,Tennessee,2,Buffalo,6
,Tennessee,2,Villanova,6
,Tennessee,2,Maryland,6
,Tennessee,2,Wofford,7
,Tennessee,2,Nevada,7
,Tennessee,2,Cincinnati,7
,Tennessee,2,Louisville,7
,Tennessee,2,Ole Miss,8
,Tennessee,2,Syracuse,8
,Tennessee,2,Utah St.,8
,Tennessee,2,VCU,8
,Tennessee,2,Baylor,9
,Tennessee,2,Oklahoma,9
,Tennessee,2,UCF,9
,Tennessee,2,Washington,9
,Tennessee,2,Iowa,10
,Tennessee,2,Seton Hall,10
,Tennessee,2,Minnesota,10
,Tennessee,2,Florida,10
,Tennessee,2,Arizona St.,11
,Tennessee,2,St. John's (NY),11
,Tennessee,2,Ohio St.,11
,Tennessee,2,Belmont,11
,Tennessee,2,Saint Mary's (CA),11
,Tennessee,2,Temple,11
,Tennessee,2,Oregon,12
,Tennessee,2,Murray St.,12
,Tennessee,2,New Mexico St.,12
,Tennessee,2,Liberty,12
,Tennessee,2,Saint Louis,13
,Tennessee,2,UC Irvine,13
,Tennessee,2,Vermont,13
,Tennessee,2,Northeastern,13
,Tennessee,2,Northern Ky.,14
,Tennessee,2,Georgia St.,14
,Tennessee,2,Yale,14
,Tennessee,2,Old Dominion,14
,Tennessee,2,Abilene Christian,15
,Tennessee,2,Colgate,15
,Tennessee,2,Bradley,15
,Tennessee,2,Montana,15
,Tennessee,2,Fairleigh Dickinson,16
,Tennessee,2,N.C. Central,16
,Tennessee,2,Gardner-Webb,16
,Tennessee,2,Prairie View,16
,Tennessee,2,North Dakota St.,16
,Tennessee,2,Iona,16
,Michigan,2,North Carolina,1
,Michigan,2,Gonzaga,1
,Michigan,2,Duke,1
,Michigan,2,Virginia,1
,Michigan,2,Kentucky,2
,Michigan,2,Michigan St.,2
,Michigan,2,Tennessee,2
,Michigan,2,Houston,3
,Michigan,2,LSU,3
,Michigan,2,Purdue,3
,Michigan,2,Texas Tech,3
,Michigan,2,Virginia Tech,4
,Michigan,2,Kansas,4
,Michigan,2,Florida St.,4
,Michigan,2,Kansas St.,4
,Michigan,2,Auburn,5
,Michigan,2,Wisconsin,5
,Michigan,2,Mississippi St.,5
,Michigan,2,Marquette,5
,Michigan,2,Iowa St.,6
,Michigan,2,Buffalo,6
,Michigan,2,Villanova,6
,Michigan,2,Maryland,6
,Michigan,2,Wofford,7
,Michigan,2,Nevada,7
,Michigan,2,Cincinnati,7
,Michigan,2,Louisville,7
,Michigan,2,Ole Miss,8
,Michigan,2,Syracuse,8
,Michigan,2,Utah St.,8
,Michigan,2,VCU,8
,Michigan,2,Baylor,9
,Michigan,2,Oklahoma,9
,Michigan,2,UCF,9
,Michigan,2,Washington,9
,Michigan,2,Iowa,10
,Michigan,2,Seton Hall,10
,Michigan,2,Minnesota,10
,Michigan,2,Florida,10
,Michigan,2,Arizona St.,11
,Michigan,2,St. John's (NY),11
,Michigan,2,Ohio St.,11
,Michigan,2,Belmont,11
,Michigan,2,Saint Mary's (CA),11
,Michigan,2,Temple,11
,Michigan,2,Oregon,12
,Michigan,2,Murray St.,12
,Michigan,2,New Mexico St.,12
,Michigan,2,Liberty,12
,Michigan,2,Saint Louis,13
,Michigan,2,UC Irvine,13
,Michigan,2,Vermont,13
,Michigan,2,Northeastern,13
,Michigan,2,Northern Ky.,14
,Michigan,2,Georgia St.,14
,Michigan,2,Yale,14
,Michigan,2,Old Dominion,14
,Michigan,2,Abilene Christian,15
,Michigan,2,Colgate,15
,Michigan,2,Bradley,15
,Michigan,2,Montana,15
,Michigan,2,Fairleigh Dickinson,16
,Michigan,2,N.C. Central,16
,Michigan,2,Gardner-Webb,16
,Michigan,2,Prairie View,16
,Michigan,2,North Dakota St.,16
,Michigan,2,Iona,16
,Houston,3,North Carolina,1
,Houston,3,Gonzaga,1
,Houston,3,Duke,1
,Houston,3,Virginia,1
,Houston,3,Kentucky,2
,Houston,3,Michigan St.,2
